Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
406,Book III: Routes,Era 5: The Free Labor Engine,32.03 Material system problem,Walter-shadow 6/9,190,Braavos,dyer widow,The Free Labor Engine: Material system problem,750,"dyer widow needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Braavos.,dyer widow developed; tie to Braavos and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 406 returns with altered stakes.",Ch. 419,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
407,Book III: Routes,Era 5: The Free Labor Engine,32.04 Social consequence,Walter-shadow 7/9,190,Pentos,corpse-cart boy,The Free Labor Engine: Social consequence,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Pentos.,corpse-cart boy developed; tie to Pentos and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 407 returns with altered stakes.",Ch. 433,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
408,Book III: Routes,Era 5: The Free Labor Engine,32.05 Hidden Walter effect,Walter-shadow 8/9,190,Slaver's Bay,red priest copyist,The Free Labor Engine: Hidden Walter effect,750,"red priest copyist needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,red priest copyist developed; tie to Slaver's Bay and war and security.,"A material habit, debt, enemy, record, or route from chapter 408 returns with altered stakes.",Ch. 447,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
409,Book III: Routes,Era 5: The Free Labor Engine,32.06 Unexpected cost,Walter-shadow 9/9,191,freedman workshops,slaver accountant,The Free Labor Engine: Unexpected cost,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,slaver accountant developed; tie to freedman workshops and health and biology.,"A material habit, debt, enemy, record, or route from chapter 409 returns with altered stakes.",Ch. 461,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
410,Book III: Routes,Era 5: The Free Labor Engine,32.07 Counterforce reaction,Walter POV,191,Volantis,Walter White,The Free Labor Engine: Counterforce reaction,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,Direct interior decision reframes prior nine chapters.,None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Walter White developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 410 returns with altered stakes.",Ch. 475,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
411,Book III: Routes,Era 5: The Free Labor Engine,32.08 Adaptation,Walter-shadow 1/9,191,Braavos,freedwoman organizer,The Free Labor Engine: Adaptation,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Braavos.,freedwoman organizer developed; tie to Braavos and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 411 returns with altered stakes.",Ch. 489,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
412,Book III: Routes,Era 5: The Free Labor Engine,32.09 Partial victory,Walter-shadow 2/9,192,Pentos,Braavosi notary,The Free Labor Engine: Partial victory,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Pentos.,Braavosi notary developed; tie to Pentos and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 412 returns with altered stakes.",Ch. 503,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
413,Book III: Routes,Era 5: The Free Labor Engine,32.10 Walter chapter / shadow reveal,Walter-shadow 3/9,192,Slaver's Bay,glassworker apprentice,The Free Labor Engine: Walter chapter / shadow reveal,750,"glassworker apprentice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,glassworker apprentice developed; tie to Slaver's Bay and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 413 returns with altered stakes.",Ch. 426,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
414,Book III: Routes,Era 5: The Free Labor Engine,32.11 Second-order consequence,Walter-shadow 4/9,192,freedman workshops,midwife,The Free Labor Engine: Second-order consequence,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,midwife developed; tie to freedman workshops and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 414 returns with altered stakes.",Ch. 440,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
415,Book III: Routes,Era 5: The Free Labor Engine,32.12 Moral complication,Walter-shadow 5/9,192,Volantis,sellsword quartermaster,The Free Labor Engine: Moral complication,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,sellsword quartermaster developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 415 returns with altered stakes.",Ch. 454,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
416,Book III: Routes,Era 5: The Free Labor Engine,32.13 Label-ledger-law-song artifact,Walter-shadow 6/9,193,Braavos,lantern code slip,The Free Labor Engine: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Braavos.,lantern code slip developed; tie to Braavos and health and biology.,"A material habit, debt, enemy, record, or route from chapter 416 returns with altered stakes.",Ch. 468,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
417,Book III: Routes,Era 5: The Free Labor Engine,33.01 Opening pressure,Walter-shadow 7/9,193,Pentos,Night's Watch steward,The Free Labor Engine: Opening pressure,750,"Night's Watch steward needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Pentos.,Night's Watch steward developed; tie to Pentos and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 417 returns with altered stakes.",Ch. 482,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
418,Book III: Routes,Era 5: The Free Labor Engine,33.02 Local character introduced,Walter-shadow 8/9,193,Slaver's Bay,maester dissenter,The Free Labor Engine: Local character introduced,750,"maester dissenter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,maester dissenter developed; tie to Slaver's Bay and war and security.,"A material habit, debt, enemy, record, or route from chapter 418 returns with altered stakes.",Ch. 496,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
419,Book III: Routes,Era 5: The Free Labor Engine,33.03 Material system problem,Walter-shadow 9/9,193,freedman workshops,septa teacher,The Free Labor Engine: Material system problem,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,septa teacher developed; tie to freedman workshops and health and biology.,"A material habit, debt, enemy, record, or route from chapter 419 returns with altered stakes.",Ch. 510,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
420,Book III: Routes,Era 5: The Free Labor Engine,33.04 Social consequence,Walter POV,194,Volantis,Walter White,The Free Labor Engine: Social consequence,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,Direct interior decision reframes prior nine chapters.,None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Walter White developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 420 returns with altered stakes.",Ch. 433,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
421,Book III: Routes,Era 5: The Free Labor Engine,33.05 Hidden Walter effect,Walter-shadow 1/9,194,Braavos,lantern operator,The Free Labor Engine: Hidden Walter effect,750,"lantern operator needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Braavos.,lantern operator developed; tie to Braavos and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 421 returns with altered stakes.",Ch. 447,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
422,Book III: Routes,Era 5: The Free Labor Engine,33.06 Unexpected cost,Walter-shadow 2/9,194,Pentos,dragon safety handler,The Free Labor Engine: Unexpected cost,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Pentos.,dragon safety handler developed; tie to Pentos and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 422 returns with altered stakes.",Ch. 461,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
423,Book III: Routes,Era 5: The Free Labor Engine,33.07 Counterforce reaction,Walter-shadow 3/9,194,Slaver's Bay,public-health inspector,The Free Labor Engine: Counterforce reaction,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,public-health inspector developed; tie to Slaver's Bay and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 423 returns with altered stakes.",Ch. 475,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
424,Book III: Routes,Era 5: The Free Labor Engine,33.08 Adaptation,Walter-shadow 4/9,195,freedman workshops,charter voter,The Free Labor Engine: Adaptation,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,charter voter developed; tie to freedman workshops and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 424 returns with altered stakes.",Ch. 489,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
425,Book III: Routes,Era 5: The Free Labor Engine,33.09 Partial victory,Walter-shadow 5/9,195,Volantis,archive student,The Free Labor Engine: Partial victory,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,archive student developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 425 returns with altered stakes.",Ch. 503,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
426,Book III: Routes,Era 5: The Free Labor Engine,33.10 Walter chapter / shadow reveal,Walter-shadow 6/9,195,Braavos,sky-yard riveter,The Free Labor Engine: Walter chapter / shadow reveal,750,"sky-yard riveter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Braavos.,sky-yard riveter developed; tie to Braavos and health and biology.,"A material habit, debt, enemy, record, or route from chapter 426 returns with altered stakes.",Ch. 517,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
427,Book III: Routes,Era 5: The Free Labor Engine,33.11 Second-order consequence,Walter-shadow 7/9,196,Pentos,slave laundress,The Free Labor Engine: Second-order consequence,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Pentos.,slave laundress developed; tie to Pentos and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 427 returns with altered stakes.",Ch. 440,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
428,Book III: Routes,Era 5: The Free Labor Engine,33.12 Moral complication,Walter-shadow 8/9,196,Slaver's Bay,temple slave novice,The Free Labor Engine: Moral complication,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,temple slave novice developed; tie to Slaver's Bay and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 428 returns with altered stakes.",Ch. 454,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
429,Book III: Routes,Era 5: The Free Labor Engine,33.13 Label-ledger-law-song artifact,Walter-shadow 9/9,196,freedman workshops,lantern code slip,The Free Labor Engine: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,lantern code slip developed; tie to freedman workshops and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 429 returns with altered stakes.",Ch. 468,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
430,Book III: Routes,Era 5: The Free Labor Engine,34.01 Opening pressure,Walter POV,196,Volantis,Walter White,The Free Labor Engine: Opening pressure,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,Direct interior decision reframes prior nine chapters.,None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Walter White developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 430 returns with altered stakes.",Ch. 482,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
431,Book III: Routes,Era 5: The Free Labor Engine,34.02 Local character introduced,Walter-shadow 1/9,197,Braavos,corpse-cart boy,The Free Labor Engine: Local character introduced,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Braavos.,corpse-cart boy developed; tie to Braavos and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 431 returns with altered stakes.",Ch. 496,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
432,Book III: Routes,Era 5: The Free Labor Engine,34.03 Material system problem,Walter-shadow 2/9,197,Pentos,red priest copyist,The Free Labor Engine: Material system problem,750,"red priest copyist needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Pentos.,red priest copyist developed; tie to Pentos and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 432 returns with altered stakes.",Ch. 510,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
433,Book III: Routes,Era 5: The Free Labor Engine,34.04 Social consequence,Walter-shadow 3/9,197,Slaver's Bay,slaver accountant,The Free Labor Engine: Social consequence,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,slaver accountant developed; tie to Slaver's Bay and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 433 returns with altered stakes.",Ch. 524,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
434,Book III: Routes,Era 5: The Free Labor Engine,34.05 Hidden Walter effect,Walter-shadow 4/9,197,freedman workshops,ship caulker,The Free Labor Engine: Hidden Walter effect,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,ship caulker developed; tie to freedman workshops and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 434 returns with altered stakes.",Ch. 447,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
435,Book III: Routes,Era 5: The Free Labor Engine,34.06 Unexpected cost,Walter-shadow 5/9,198,Volantis,freedwoman organizer,The Free Labor Engine: Unexpected cost,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,freedwoman organizer developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 435 returns with altered stakes.",Ch. 461,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
436,Book III: Routes,Era 5: The Free Labor Engine,34.07 Counterforce reaction,Walter-shadow 6/9,198,Braavos,Braavosi notary,The Free Labor Engine: Counterforce reaction,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Braavos.,Braavosi notary developed; tie to Braavos and health and biology.,"A material habit, debt, enemy, record, or route from chapter 436 returns with altered stakes.",Ch. 475,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
437,Book III: Routes,Era 5: The Free Labor Engine,34.08 Adaptation,Walter-shadow 7/9,198,Pentos,glassworker apprentice,The Free Labor Engine: Adaptation,750,"glassworker apprentice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Pentos.,glassworker apprentice developed; tie to Pentos and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 437 returns with altered stakes.",Ch. 489,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
438,Book III: Routes,Era 5: The Free Labor Engine,34.09 Partial victory,Walter-shadow 8/9,198,Slaver's Bay,midwife,The Free Labor Engine: Partial victory,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,midwife developed; tie to Slaver's Bay and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 438 returns with altered stakes.",Ch. 503,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
439,Book III: Routes,Era 5: The Free Labor Engine,34.10 Walter chapter / shadow reveal,Walter-shadow 9/9,199,freedman workshops,sellsword quartermaster,The Free Labor Engine: Walter chapter / shadow reveal,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,sellsword quartermaster developed; tie to freedman workshops and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 439 returns with altered stakes.",Ch. 517,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
440,Book III: Routes,Era 5: The Free Labor Engine,34.11 Second-order consequence,Walter POV,199,Volantis,Walter White,The Free Labor Engine: Second-order consequence,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,Direct interior decision reframes prior nine chapters.,None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Walter White developed; tie to Volantis and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 440 returns with altered stakes.",Ch. 531,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
441,Book III: Routes,Era 5: The Free Labor Engine,34.12 Moral complication,Walter-shadow 1/9,199,Braavos,Night's Watch steward,The Free Labor Engine: Moral complication,750,"Night's Watch steward needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Braavos.,Night's Watch steward developed; tie to Braavos and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 441 returns with altered stakes.",Ch. 454,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
442,Book III: Routes,Era 5: The Free Labor Engine,34.13 Label-ledger-law-song artifact,Walter-shadow 2/9,200,Pentos,lantern code slip,The Free Labor Engine: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Pentos.,lantern code slip developed; tie to Pentos and war and security.,"A material habit, debt, enemy, record, or route from chapter 442 returns with altered stakes.",Ch. 468,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
443,Book III: Routes,Era 5: The Free Labor Engine,35.01 Opening pressure,Walter-shadow 3/9,200,Slaver's Bay,septa teacher,The Free Labor Engine: Opening pressure,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,septa teacher developed; tie to Slaver's Bay and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 443 returns with altered stakes.",Ch. 482,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
444,Book III: Routes,Era 5: The Free Labor Engine,35.02 Local character introduced,Walter-shadow 4/9,200,freedman workshops,river farmer,The Free Labor Engine: Local character introduced,750,"river farmer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,river farmer developed; tie to freedman workshops and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 444 returns with altered stakes.",Ch. 496,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
445,Book III: Routes,Era 5: The Free Labor Engine,35.03 Material system problem,Walter-shadow 5/9,200,Volantis,lantern operator,The Free Labor Engine: Material system problem,750,"lantern operator needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,lantern operator developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 445 returns with altered stakes.",Ch. 510,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
446,Book III: Routes,Era 5: The Free Labor Engine,35.04 Social consequence,Walter-shadow 6/9,201,Braavos,dragon safety handler,The Free Labor Engine: Social consequence,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Braavos.,dragon safety handler developed; tie to Braavos and health and biology.,"A material habit, debt, enemy, record, or route from chapter 446 returns with altered stakes.",Ch. 524,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
447,Book III: Routes,Era 5: The Free Labor Engine,35.05 Hidden Walter effect,Walter-shadow 7/9,201,Pentos,public-health inspector,The Free Labor Engine: Hidden Walter effect,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Pentos.,public-health inspector developed; tie to Pentos and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 447 returns with altered stakes.",Ch. 538,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
448,Book III: Routes,Era 5: The Free Labor Engine,35.06 Unexpected cost,Walter-shadow 8/9,201,Slaver's Bay,charter voter,The Free Labor Engine: Unexpected cost,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,charter voter developed; tie to Slaver's Bay and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 448 returns with altered stakes.",Ch. 461,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
449,Book III: Routes,Era 5: The Free Labor Engine,35.07 Counterforce reaction,Walter-shadow 9/9,201,freedman workshops,archive student,The Free Labor Engine: Counterforce reaction,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,archive student developed; tie to freedman workshops and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 449 returns with altered stakes.",Ch. 475,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
450,Book III: Routes,Era 5: The Free Labor Engine,35.08 Adaptation,Walter POV,202,Volantis,Walter White,The Free Labor Engine: Adaptation,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,Direct interior decision reframes prior nine chapters.,None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Walter White developed; tie to Volantis and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 450 returns with altered stakes.",Ch. 489,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
